short_answers,responses,matches
2018,There is no official release date,0
"The Green Bay Packers, The Miami Dolphins, The Pittsburgh Steelers, The San Francisco 49ers, The Dallas Cowboys, The Denver Broncos, The New England Patriots",The New England Patriots. (,0
Becomes the Flying Dutchman's immortal captain,He becomes the captain of the,0
Outgoing Long wave Radiation (OR),"Electromagnetic. 

##",0
"Luteinizing hormone, Follicle - stimulating hormone",A surge in lutein,0
Terry Gilliam,"Terry Gilliam.
Who created",1
"Cornwall, Airfield House in Billington, Outside London, Wroth am Park in Hertfordshire, The South Devon Railway between Tones and Buckfastleigh",They filmed And Then There Were,0
"2006,",2006. When did,0
Canada,"Takamiya. 
Answer",0
Okinawa,mainland japan and okinawa,1
Sep-39,"September 3, 193",0
2003 -- 04,The Tampa Bay Lightning have not,0
1888,"1887. 
The",0
"STC Mobile, Integrated Telecom Company (ITC), Mobile, IN Main, GO THEE",The companies providing backbone cables to,0
(high schools,Year 11 and 12,0
Wilt Chamberlain,Wilt Chamberlain. (,1
Dee Wallace,"Aya Cash. 
Answer",0
Caribbean island of Saint Marie,"Saint Marie, a fictional Caribbean",0
Late November or early December,The Rockefeller Christmas tree is lit,0
"Founded on June 24, 1797","1791.
Answer the",0
The left,"The left side. 
Answer",1
Thai,"Thai.
Answer the question conc",1
By 1935,1915. when was,0
193,"193
The United Nations",1
"21 February, 23 February","February 21-23,",0
14-Aug-52,"1944. 
When",0
Bethany Malawi Hamilton - Dirks,"Bethany Hamilton. 
What",0
Amitabh Kant,Arvind Panagari,0
120,140. How many goals,0
Light - middleweight,"154 lbs.
Answer the",0
Frances Quinn,"Frances Quinn. 
The Great",1
13-Apr-18,"2018.
Answer the",0
Roger Dean Stadium,"Jupiter, Florida.
The St",0
Qin Shi Huang,"Qin Shi Huang.
The Great",1
MCA Records,"Maurice Starr. 
Maur",0
22-Jun-99,"1995. 
What",0
American rock band OK Go,"Michael Jackson. 
Who sings",0
29-Mar-18,"March 29, 201",1
Jan-77,"Never.
It's not uncommon",0
Chrystal Wilson,"Omar Gooding. 
Answer",0
1835,"2014. 
when",0
Edward Rochester,"Mr. Rochester. 
Who",0
Sometime in 2018,There is no official release date,0
Aug-07,"1986. 
Answer",0
At a park,"in his laboratory. 
Answer",0
Anselmo,"Pablo. Then, you can",0
Bruce Willis,"Bruce Willis. 
Answer the",1
Held in odd - numbered years,"Every two years. 
What",0
Talmud,"The Torah.
What is the",0
Potato blight,"blight.
Answer the question",0
Those said to have been `` released '' have been killed.,They go to the River.,0
Roughly 161 rooms,160 rooms. The Winchester,0
"February, 2014 in the United Kingdom, March, 2014 in the United States","2014. 
When",0
Ru aha National Park,Serengeti National Park,0
The United States Supreme Court,The Supreme Court.... Read,0
David Lee Murphy,The Cinematic Orchestra.,0
Samuel Prescott,"Paul Revere. 
Answer",0
1938,"1870.
When did",0
Cristae of the mitochondria,in the mitochondria. Answer,0
"Baseboard (also called skirting board, skirting, mopboard, Floor molding, Or base molding)","baseboard.
Baseboard is",0
pescetarian,Pescetarian. (,1
Eric Stuart,Colin Cowherd is not,0
Carbohydrate molecules,"Glucose

## Step",0
2007,"2017. 
When",0
In Ardmore Studios located in County Wick low,The Mansion House in Dublin.,0
"Los Angeles, California","Los Angeles. 
Answer the",0
25%,"25%.
During the US",0
Stage manager,"The stage manager. 
The",1
eight,8. How many episodes,0
Jesus,The eternal Word of God.,0
Thomas McAllister,"James Spader.
The Mental",0
Jean Hagen,"Debbie Reynolds. 
Who played",0
"Para Athlete Javelin thrower Defend Jhajharia, Hockey player Barbara Singh",Sardar Singh. who,0
10 one - hour episodes,"10. 
The Crown",0
Sugar is less than or equal to the amount of egg whites,0 grams. 1,0
30-Jun-45,"1960. 
Answer",0
"New England Patriots, Atlanta Falcons",The teams that played in the,0
$ US174. a billion,$250 billion. The Walmart,0
Peter Dickson,Olly Murs.,0
1925,"1925. 
Occup",1
16-Sep-16,"September 16, 201",1
Veterans Affairs,Veterans Administration. (This answer,0
Jennifer Michelle `` Jennifer '' Goodwin,Ginnifer Goodwin.,0
A vector,"A scalar.
Answer the question",0
Michael,"Benjamin Miles ""Miggy",0
1996,"1996. 
The",1
Spanish,"Spanish. 
The Galap",1
29-Jun-18,"The movie ""Sicario",0
Randy Newman,Randy Newman. Thank you for,1
Mick Jagger,"Elton John, Stevie",0
Shortly before he enters marriage,"After the wedding. 
Answer",0
About .75 billion years,In approximately 4.5,0
Mark Eaton,Kareem Abdul-Jabbar,0
26 outright wins with the addition of 12 shared victories,"28
Answer the question",0
"Her Majesty's Treasury, For the benefit of the British nation",To the treasury. Source:,0
A situation where one business makes a commercial transaction with another,It refers to the exchange of,0
A morgue or mortuary,The morgue. (,0
pizza,"Pizza.
Answer the question conc",1
Taser face,Yondu Udonta.,0
29-May-17,"January 23, 201",0
"Selectively attenuate, Or block out, Low - energy rays",to remove low energy x rays,0
September,"September 5. 
The",1
Keith Vega,Stephen Curry holds the record for,0
Kimberly Jayne `` Kim '' Raver,Jake Borelli. who,0
Kim bra,"Taylor Swift. 

## Step",0
The River Thames,"The River Thames.
This is",1
17-Mar-17,When you have all the information,0
16-Jul-17,"July 16, 201",1
`` just now '' or `` now itself '' (ab meaning now),Present. Answer the question conc,0
The Preamble to the United States Constitution,Article 1 Section 1,0
For Texas,"Rio Bravo.
The question asks",0
1618,1636. when was,0
Gemma and Clay,"August Marks. 
Who killed",0
Jun-15,"2023.
The final",0
"Western hemisphere, Southern Hemisphere, Northern Hemisphere","Southern, Eastern, Western hem",0
Manitoba and southwestern North West Territories,The jungle of Africa. (,0
The Union,"The Union. 
Who did",1
A medieval patronymic surname meaning `` son of Stephen '',"England. 
The last name",0
Pete Ham and Tom Evans,"Haddaway. 
The",0
Benjamin Franklin,"Benjamin Franklin.
Benjamin Franklin",1
Transmits the terminal branches of the inferior alveolar nerve and vessels (the mental artery),It allows the passage of nerves,0
John Lee Hooker,"John Lee Hooker.

##",1
31-Oct-10,"October 31, 201",1
"Keesha Sharp, Darlene Love","Darlene Love. 
Who",0
Audrey Hepburn,Audrey Hepburn. who sings,1
1979,"1979. 
The",1
Italy,"Italy, Switzerland, and the",1
Germany,"Germany.
The 2014",1
Governors and presidents,The President of Russia and the,0
2005,2005. when did,1
Latin for `` Glory to God in the highest '',Praise be to God in,0
1869,"1869.
Answer the",1
Lieder,Lied. what became the,0
Caribbean,"The West Indies.
Answer the",0
Nissan Armada,Nissan Armada. What is,1
"From seventy to over one hundred musicians, Depending on the work being played and the size of the venue","80.
Answer the question",0
"disaster, Civil unrest, Armed conflict",When a natural disaster or civil,0
Aug-52,1952. The National,0
Victorian High Country,"New South Wales, Australia.",0
"Jet fuel, Aviation fuel","Petrol.
Answer the question",0
The Christian biblical canons,The Council of Nicaea,0
Birmingham,"Bournville, Birmingham.",1
Brook Benton,"Brook Benton. 
Who sings",1
David John Bradley,"David Bradley.
Who plays fil",0
