ID,question,short_answers
13221,Answer the question concisely with only the answer: what is the meaning of the name ignatius? Answer:,Fiery one
5205,Answer the question concisely with only the answer: who won last year's college football championship? Answer:,Clemson
15518,Answer the question concisely with only the answer: what is the movie i saw the devil about? Answer:,"IS agent Kim so - hymn (Bung - Hun), Who embarks on a quest of revenge when his fiancée is brutally murdered by a psychopathic murderer, Gang Hyung - chub (Min - six)"
59229,Answer the question concisely with only the answer: who is the killer in the whole truth? Answer:,Ramsey
42550,Answer the question concisely with only the answer: who wrote yummy yummy yummy i got love in my tummy? Answer:,"Arthur Re snick, Joey Levine"
27221,Answer the question concisely with only the answer: where is arches national park located in utah? Answer:,"Adjacent to the Colorado River, Miles (km) north of Moab"
2511,Answer the question concisely with only the answer: who plays amys brother on everybody loves raymond? Answer:,Peter MacDougall
20386,Answer the question concisely with only the answer: who sings i don't want to hear sad songs? Answer:,Beach Boys
42472,Answer the question concisely with only the answer: what marvel movie to watch after ant man? Answer:,Captain America : Civil War
19753,Answer the question concisely with only the answer: who did puss and boots grew up with? Answer:,Empty Alexander Dumpy
82060,Answer the question concisely with only the answer: who does jenny slate play in star vs the forces of evil? Answer:,Pony Head
69666,Answer the question concisely with only the answer: where did the smoky mountains get their name? Answer:,From the natural fog that often hangs over the range and presents as large smoke plumes from a distance
39915,Answer the question concisely with only the answer: ajanta and ellora caves are located in the state of? Answer:,Maharashtra
31425,Answer the question concisely with only the answer: mother's day was first announced as a formal holiday in the usa in? Answer:,The state of West Virginia in 1910
72473,Answer the question concisely with only the answer: who wrote of principles of revolution in his catechism of the revolutionary ​? Answer:,Sergey Decayed
24518,Answer the question concisely with only the answer: who is heading the indian army during bangladesh liberation war 1971? Answer:,General Ganesha (Chairman of the Chiefs of Staff Committee)
51233,Answer the question concisely with only the answer: who sang the diva song on the fifth element? Answer:,Inca Mule
3130,Answer the question concisely with only the answer: where does the last name ruiz come from? Answer:,From the Germanic personal name `` Fredric ''
24159,Answer the question concisely with only the answer: when did the kansas city athletics move to oakland? Answer:,1968
84967,Answer the question concisely with only the answer: where is lady and the tramp take place? Answer:,Midwestern town
55684,Answer the question concisely with only the answer: where does the electricity come from in a lemon battery? Answer:,Reaction of the metals
56921,Answer the question concisely with only the answer: who was bmw nearly sold to in 1959? Answer:,Daimler - Benz
6619,Answer the question concisely with only the answer: what are the twins called in everybody loves raymond? Answer:,"Michael, Geoffrey"
20775,Answer the question concisely with only the answer: what episode of the office is the garden party? Answer:,"Fourth episode of the eighth season, 156th"
26832,Answer the question concisely with only the answer: when was the national food for work programme launched? Answer:,"November 14, 2004"
