,questions,short_answers,responses,logits_of_answers
0,Answer the question concisely with only the answer: what is the meaning of the name ignatius? Answer:,Fiery one,A name of Latin origin meaning,0.4360446333885193
1,Answer the question concisely with only the answer: who won last year's college football championship? Answer:,Clemson,"Alabama. 
The answer is",0.44241732358932495
2,Answer the question concisely with only the answer: what is the movie i saw the devil about? Answer:,"IS agent Kim so - hymn (Bung - Hun), Who embarks on a quest of revenge when his fiancée is brutally murdered by a psychopathic murderer, Gang Hyung - chub (Min - six)",I Saw the Devil is a,0.9134330153465271
3,Answer the question concisely with only the answer: who is the killer in the whole truth? Answer:,Ramsey,The killer in the whole truth,0.7647620439529419
4,Answer the question concisely with only the answer: who wrote yummy yummy yummy i got love in my tummy? Answer:,"Arthur Re snick, Joey Levine",Warren Zevon. Who,0.608467698097229
5,Answer the question concisely with only the answer: where is arches national park located in utah? Answer:,"Adjacent to the Colorado River, Miles (km) north of Moab","Southeastern Utah. 
The",0.7670260667800903
6,Answer the question concisely with only the answer: who plays amys brother on everybody loves raymond? Answer:,Peter MacDougall,"Sawyer Sweeten. 
Who",0.7485689520835876
7,Answer the question concisely with only the answer: who sings i don't want to hear sad songs? Answer:,Beach Boys,3 Doors Down.,0.679588258266449
8,Answer the question concisely with only the answer: what marvel movie to watch after ant man? Answer:,Captain America : Civil War,Captain America: Civil War.,0.8225349187850952
9,Answer the question concisely with only the answer: who did puss and boots grew up with? Answer:,Empty Alexander Dumpy,"Orson. 
Answer the",0.6512494683265686
10,Answer the question concisely with only the answer: who does jenny slate play in star vs the forces of evil? Answer:,Pony Head,Jenny Slate plays Star Butterfly in,0.8113669157028198
11,Answer the question concisely with only the answer: where did the smoky mountains get their name? Answer:,From the natural fog that often hangs over the range and presents as large smoke plumes from a distance,From the smoke-like appearance of,0.6637591123580933
12,Answer the question concisely with only the answer: ajanta and ellora caves are located in the state of? Answer:,Maharashtra,maharashtra. Maharashtra is,0.7838620543479919
13,Answer the question concisely with only the answer: mother's day was first announced as a formal holiday in the usa in? Answer:,The state of West Virginia in 1910,1914. was mother,0.7664867639541626
14,Answer the question concisely with only the answer: who wrote of principles of revolution in his catechism of the revolutionary ​? Answer:,Sergey Decayed,"Vladimir Lenin.​
Who",0.5961164832115173
15,Answer the question concisely with only the answer: who is heading the indian army during bangladesh liberation war 1971? Answer:,General Ganesha (Chairman of the Chiefs of Staff Committee),Gen. Jagjit Singh Aurora,0.7377618551254272
16,Answer the question concisely with only the answer: who sang the diva song on the fifth element? Answer:,Inca Mule,Goldie. who was the,0.5994063019752502
17,Answer the question concisely with only the answer: where does the last name ruiz come from? Answer:,From the Germanic personal name `` Fredric '',The last name Ruiz comes from,0.8374087810516357
18,Answer the question concisely with only the answer: when did the kansas city athletics move to oakland? Answer:,1968,1968. when did,0.8308829665184021
19,Answer the question concisely with only the answer: where is lady and the tramp take place? Answer:,Midwestern town,Italy. Italy is the correct,0.4721929430961609
20,Answer the question concisely with only the answer: where does the electricity come from in a lemon battery? Answer:,Reaction of the metals,The electrodes of the lemon battery,0.6108965277671814
21,Answer the question concisely with only the answer: who was bmw nearly sold to in 1959? Answer:,Daimler - Benz,Mercedes-Benz. 1959,0.6276661157608032
22,Answer the question concisely with only the answer: what are the twins called in everybody loves raymond? Answer:,"Michael, Geoffrey",Robert and Michael Barone.,0.8761085867881775
23,Answer the question concisely with only the answer: what episode of the office is the garden party? Answer:,"Fourth episode of the eighth season, 156th","Season 4, Episode",0.8419613838195801
24,Answer the question concisely with only the answer: when was the national food for work programme launched? Answer:,"November 14, 2004","2001. 
When",0.49570900201797485
25,Answer the question concisely with only the answer: when approximately did the genre of funk surface? Answer:,The mid-1960s,The genre of funk surfaced in,0.863346517086029
26,Answer the question concisely with only the answer: when did the first smart phones come out? Answer:,1999,"1992.
Answer the",0.7799180746078491
27,Answer the question concisely with only the answer: who is the lead singer of bad wolves? Answer:,Tommy Next,"Tommy English. 
Who is",0.8850187063217163
28,Answer the question concisely with only the answer: who played milk lady in open all hours? Answer:,Barbara Flynn,"Angela Thorne. 
Answer",0.6593745350837708
29,Answer the question concisely with only the answer: when is the new gorillaz album coming out 2018? Answer:,29 June 2018,No official release date has been,0.7708410024642944
30,Answer the question concisely with only the answer: who was edwards dating on grey's anatomy? Answer:,Jackson,Dr. Finn Dandridge,0.8297945857048035
31,Answer the question concisely with only the answer: who wrote the song i won't dance? Answer:,"Jerome Kern, Oscar Hammerstein II, Otto Hardback, Dorothy Fields, Jimmy McHugh","Frankie Laine. 
Who",0.6571425795555115
32,Answer the question concisely with only the answer: who sings the song say you love me? Answer:,Jessie Ware,"Justin Bieber.
Who sings the",0.7129818797111511
33,Answer the question concisely with only the answer: who voices hiccup from how to train your dragon? Answer:,Jonathan Adam Saunders `` Jay '' Baruch,Jay Baruchel.,1.0
34,Answer the question concisely with only the answer: where does the term petty officer come from? Answer:,Age of Sail,The term petty officer comes from,0.8363724946975708
35,Answer the question concisely with only the answer: who played gwen in weekend at bernie's? Answer:,Catherine Mary Stewart,"Doris Roberts. 
Answer",0.7489721775054932
36,Answer the question concisely with only the answer: what were the blimps used for in ww2 in london? Answer:,"To defend against dive bombers flying at heights up to, 000 feet (,500 m)","Observation and reconnaissance.

## Step",0.4432212710380554
37,Answer the question concisely with only the answer: when did the new york stock exchange begin? Answer:,"May 17, 1792",1792. when was,0.661432683467865
38,Answer the question concisely with only the answer: who died from the show sons of anarchy? Answer:,Jonathan Kendrick Lewis,"Jackson ""Jax"" T",0.8386211395263672
39,Answer the question concisely with only the answer: where is orange is the new black filmed? Answer:,"The old Rockland Children's Psychiatric Center in Rockland County, New York","New York City, USA.",0.8151926398277283
40,Answer the question concisely with only the answer: when was the second amendment put in place? Answer:,"December 15, 1791","1791. 
The",0.8325347900390625
41,Answer the question concisely with only the answer: how high above sea level is jacksonville fl? Answer:,The highest point in Jacksonville is only 40 feet (12. Meters) above sea level,10 ft. Answer the,0.6886960864067078
42,Answer the question concisely with only the answer: who does the voting for the golden globes? Answer:,93 members of the Hollywood Foreign Press Association,The Hollywood Foreign Press Association (,0.9409539103507996
43,Answer the question concisely with only the answer: who has struck out the most in major league history? Answer:,Reggie Jackson,Nolan Ryan. Nolan Ryan holds,0.8021461367607117
44,Answer the question concisely with only the answer: when did women's hockey became an olympic sport? Answer:,1998,"1998. 
Answer",0.8565317392349243
45,Answer the question concisely with only the answer: when did toyota start making the rav4 hybrid? Answer:,April 2015,"2015.
Toyota started",0.7544882297515869
46,Answer the question concisely with only the answer: when did the han dynasty invent the wheelbarrow? Answer:,231 AD,The Han Dynasty did not invent,0.8954293131828308
47,Answer the question concisely with only the answer: ranking of st john's medical college bangalore? Answer:,14th,6th. According to,0.5521820783615112
48,Answer the question concisely with only the answer: who won the election in a sound of thunder? Answer:,Deutsche,"Eckels. 
Answer the",0.6031440496444702
49,Answer the question concisely with only the answer: where does the fluid from a runny nose come from? Answer:,The mucous membranes that line the nasal cavities,The fluid from a runny,0.7720162868499756
50,Answer the question concisely with only the answer: who played jack hyde in fifty shades darker? Answer:,Eric Johann Johnson,"Eric Johnson. 
The",0.5066803693771362
51,Answer the question concisely with only the answer: when was penicillin first used on a large scale basis? Answer:,1942,"1941.
Answer the",0.9005419611930847
52,Answer the question concisely with only the answer: who becomes president if the president and vp die? Answer:,Speaker of the House of Representatives,The Speaker of the House becomes,0.876804769039154
53,Answer the question concisely with only the answer: what type of division makes possible the development of multilayered epidermis? Answer:,Periclinal cellular division,apical meristematic division,0.7751293182373047
54,Answer the question concisely with only the answer: what is half blood prince in harry potter? Answer:,Mysterious former student who wrote numerous tips and spells in his Potions textbook that Harry uses to achieve superb results,The sixth book in the Harry,0.8008023500442505
55,Answer the question concisely with only the answer: who won the 100 meter dash in the 2016 olympics? Answer:,Usain Bolt,"Usain Bolt
Answer the",0.84391850233078
56,Answer the question concisely with only the answer: when was universal declaration of human rights adopted? Answer:,10 December 1948,"December 10, 194",0.9565285444259644
57,Answer the question concisely with only the answer: when was the last western roman emperor overthrown? Answer:,31 October AD 475,"476 CE. 
When",0.6197214126586914
58,Answer the question concisely with only the answer: how many games is the first round of the nba playoffs? Answer:,Best - of - seven series,"7
Answer the question",0.6552506685256958
59,Answer the question concisely with only the answer: when did the first michael vey book come out? Answer:,2011,"2010. 
The",0.6640268564224243
60,Answer the question concisely with only the answer: in india which businessman had pilot license number one? Answer:,J.R.D. Tata,"JRD Tata. 
Answer",0.7776532173156738
61,Answer the question concisely with only the answer: when did howl's moving castle come out? Answer:,"World premiere at the Venice Film Festival on September 2004, Released in Japanese theaters on 20 November 2004","2004. 
How",0.8649652004241943
62,Answer the question concisely with only the answer: who is the yellow rose of texas named after? Answer:,Emily D. West,"Emily D. West.
Answer",0.7919520735740662
63,Answer the question concisely with only the answer: who plays pennywise in stephen king's it 2017? Answer:,Bill Starboard,Bill Skarsgard.,0.7451919317245483
64,Answer the question concisely with only the answer: who won the andre the giant battle royal? Answer:,Matt Hardy,Baron Corbin. Who won,0.7740985751152039
