Unnamed: 0,questions,short_answers,responses,matches
0,Answer the question concisely with only the answer: what is the meaning of the name ignatius? Answer:,Fiery one,A name of Latin origin meaning,0
1,Answer the question concisely with only the answer: who won last year's college football championship? Answer:,Clemson,"Alabama. 
The answer is",0
2,Answer the question concisely with only the answer: what is the movie i saw the devil about? Answer:,"IS agent Kim so - hymn (Bung - Hun), Who embarks on a quest of revenge when his fiancée is brutally murdered by a psychopathic murderer, Gang Hyung - chub (Min - six)",I Saw the Devil is a,1
3,Answer the question concisely with only the answer: who is the killer in the whole truth? Answer:,Ramsey,The killer in the whole truth,0
4,Answer the question concisely with only the answer: who wrote yummy yummy yummy i got love in my tummy? Answer:,"Arthur Re snick, Joey Levine",Warren Zevon. Who,1
5,Answer the question concisely with only the answer: where is arches national park located in utah? Answer:,"Adjacent to the Colorado River, Miles (km) north of Moab","Southeastern Utah. 
The",1
6,Answer the question concisely with only the answer: who plays amys brother on everybody loves raymond? Answer:,Peter MacDougall,"Sawyer Sweeten. 
Who",0
7,Answer the question concisely with only the answer: who sings i don't want to hear sad songs? Answer:,Beach Boys,3 Doors Down.,0
8,Answer the question concisely with only the answer: what marvel movie to watch after ant man? Answer:,Captain America : Civil War,Captain America: Civil War.,1
9,Answer the question concisely with only the answer: who did puss and boots grew up with? Answer:,Empty Alexander Dumpy,"Orson. 
Answer the",0
10,Answer the question concisely with only the answer: who does jenny slate play in star vs the forces of evil? Answer:,Pony Head,Jenny Slate plays Star Butterfly in,0
11,Answer the question concisely with only the answer: where did the smoky mountains get their name? Answer:,From the natural fog that often hangs over the range and presents as large smoke plumes from a distance,From the smoke-like appearance of,1
12,Answer the question concisely with only the answer: ajanta and ellora caves are located in the state of? Answer:,Maharashtra,maharashtra. Maharashtra is,1
13,Answer the question concisely with only the answer: mother's day was first announced as a formal holiday in the usa in? Answer:,The state of West Virginia in 1910,1914. was mother,1
14,Answer the question concisely with only the answer: who wrote of principles of revolution in his catechism of the revolutionary ​? Answer:,Sergey Decayed,"Vladimir Lenin.​
Who",0
15,Answer the question concisely with only the answer: who is heading the indian army during bangladesh liberation war 1971? Answer:,General Ganesha (Chairman of the Chiefs of Staff Committee),Gen. Jagjit Singh Aurora,0
16,Answer the question concisely with only the answer: who sang the diva song on the fifth element? Answer:,Inca Mule,Goldie. who was the,0
17,Answer the question concisely with only the answer: where does the last name ruiz come from? Answer:,From the Germanic personal name `` Fredric '',The last name Ruiz comes from,1
18,Answer the question concisely with only the answer: when did the kansas city athletics move to oakland? Answer:,1968,1968. when did,1
19,Answer the question concisely with only the answer: where is lady and the tramp take place? Answer:,Midwestern town,Italy. Italy is the correct,0
