,questions,short_answers,responses
0,Answer the question concisely with only the answer: when do new episodes of fairy tail come out? Answer:,2018,"Typically, new episodes of Fairy"
1,Answer the question concisely with only the answer: who won the super bowl 2 years in a row? Answer:,"The Green Bay Packers, The Miami Dolphins, The Pittsburgh Steelers, The San Francisco 49ers, The Dallas Cowboys, The Denver Broncos, The New England Patriots","The New England Patriots.
The"
2,Answer the question concisely with only the answer: what happens to will turner in pirates of the caribbean? Answer:,Becomes the Flying Dutchman's immortal captain,He becomes the captain of the
3,Answer the question concisely with only the answer: what type of radiation leaves earth as outgoing waves? Answer:,Outgoing Long wave Radiation (OR),"Microwave radiation. 

## Step"
4,Answer the question concisely with only the answer: a surge in which hormone is responsible for ovulation? Answer:,"Luteinizing hormone, Follicle - stimulating hormone",a surge in lutein
5,Answer the question concisely with only the answer: who created the animations in monty pythons flying circus? Answer:,Terry Gilliam,"Terry Gilliam.
Answer the"
6,Answer the question concisely with only the answer: where did they film and then there were none? Answer:,"Cornwall, Airfield House in Billington, Outside London, Wroth am Park in Hertfordshire, The South Devon Railway between Tones and Buckfastleigh",Mottistone Estate in
7,Answer the question concisely with only the answer: when did espn take over monday night football? Answer:,"2006,","2006. 
ESPN"
8,Answer the question concisely with only the answer: who does yankumi end up with in gokusen? Answer:,Canada,Shinoda. Answer the question
9,Answer the question concisely with only the answer: where are most us troops in japan stationed? Answer:,Okinawa,Yokosuka and Misawa
10,Answer the question concisely with only the answer: when did britian and france declare war on germany? Answer:,September 1939,"September 3, 193"
11,Answer the question concisely with only the answer: when did tampa bay last win the stanley cup? Answer:,2003 -- 04,"2004. 
When"
12,Answer the question concisely with only the answer: when did the first contact lenses come out? Answer:,1888,"1887. 
The"
13,Answer the question concisely with only the answer: name the companies that are providing back bone cables to saudi arabia? Answer:,"STC Mobile, Integrated Telecom Company (ITC), Mobile, IN Main, GO THEE",1. Alcatel
14,Answer the question concisely with only the answer: what do they call high school in australia? Answer:,(high schools,Year 11 and 12
15,Answer the question concisely with only the answer: who has the most point in a nba game? Answer:,Wilt Chamberlain,Wilt Chamberlain.
16,Answer the question concisely with only the answer: who plays gail in you're the worst? Answer:,Dee Wallace,"Aya Cash. 
If"
17,Answer the question concisely with only the answer: where does the show death in paradise take place? Answer:,Caribbean island of Saint Marie,"Saint Marie, a fictional island"
18,Answer the question concisely with only the answer: when do they light the rockefeller christmas tree? Answer:,Late November or early December,The first week of December.
19,Answer the question concisely with only the answer: when was the san juan bautista mission built? Answer:,"Founded on June 24, 1797",1797. Answer the
20,Answer the question concisely with only the answer: what side of the road does japan use? Answer:,The left,"The left. 
What side"
21,Answer the question concisely with only the answer: what is the official language spoken in thailand? Answer:,Thai,"Thai.
What is the official"
22,Answer the question concisely with only the answer: when did we start celebrating australia day on 26 january? Answer:,By 1935,"1915.
When Did"
23,Answer the question concisely with only the answer: how many countries make up the united nation? Answer:,193,"193
What is the"
24,Answer the question concisely with only the answer: when is women's figure skating 2018 olympics? Answer:,"21 February, 23 February","February 19-20,"
25,Answer the question concisely with only the answer: when was the term third world first used? Answer:,"August 14, 1952","1952. However,"
26,Answer the question concisely with only the answer: who is the surfer who lost her arm? Answer:,Bethany Malawi Hamilton - Dirks,"Bethany Hamilton. 
Beth"
27,Answer the question concisely with only the answer: who was the first chief executive officer of niti ayog? Answer:,Amitabh Kant,NITI Aayog
