ID,question,short_answers
37568,Answer the question concisely with only the answer: when do new episodes of fairy tail come out? Answer:,2018
43413,Answer the question concisely with only the answer: who won the super bowl 2 years in a row? Answer:,"The Green Bay Packers, The Miami Dolphins, The Pittsburgh Steelers, The San Francisco 49ers, The Dallas Cowboys, The Denver Broncos, The New England Patriots"
23090,Answer the question concisely with only the answer: what happens to will turner in pirates of the caribbean? Answer:,Becomes the Flying Dutchman's immortal captain
47605,Answer the question concisely with only the answer: what type of radiation leaves earth as outgoing waves? Answer:,Outgoing Long wave Radiation (OR)
30038,Answer the question concisely with only the answer: a surge in which hormone is responsible for ovulation? Answer:,"Luteinizing hormone, Follicle - stimulating hormone"
18463,Answer the question concisely with only the answer: who created the animations in monty pythons flying circus? Answer:,Terry Gilliam
18932,Answer the question concisely with only the answer: where did they film and then there were none? Answer:,"Cornwall, Airfield House in Billington, Outside London, Wroth am Park in Hertfordshire, The South Devon Railway between Tones and Buckfastleigh"
18634,Answer the question concisely with only the answer: when did espn take over monday night football? Answer:,"2006,"
78541,Answer the question concisely with only the answer: who does yankumi end up with in gokusen? Answer:,Canada
25058,Answer the question concisely with only the answer: where are most us troops in japan stationed? Answer:,Okinawa
80038,Answer the question concisely with only the answer: when did britian and france declare war on germany? Answer:,September 1939
54064,Answer the question concisely with only the answer: when did tampa bay last win the stanley cup? Answer:,2003 -- 04
39290,Answer the question concisely with only the answer: when did the first contact lenses come out? Answer:,1888
60821,Answer the question concisely with only the answer: name the companies that are providing back bone cables to saudi arabia? Answer:,"STC Mobile, Integrated Telecom Company (ITC), Mobile, IN Main, GO THEE"
44699,Answer the question concisely with only the answer: what do they call high school in australia? Answer:,(high schools
75056,Answer the question concisely with only the answer: who has the most point in a nba game? Answer:,Wilt Chamberlain
55989,Answer the question concisely with only the answer: who plays gail in you're the worst? Answer:,Dee Wallace
42989,Answer the question concisely with only the answer: where does the show death in paradise take place? Answer:,Caribbean island of Saint Marie
38639,Answer the question concisely with only the answer: when do they light the rockefeller christmas tree? Answer:,Late November or early December
60322,Answer the question concisely with only the answer: when was the san juan bautista mission built? Answer:,"Founded on June 24, 1797"
60397,Answer the question concisely with only the answer: what side of the road does japan use? Answer:,The left
55902,Answer the question concisely with only the answer: what is the official language spoken in thailand? Answer:,Thai
29161,Answer the question concisely with only the answer: when did we start celebrating australia day on 26 january? Answer:,By 1935
19781,Answer the question concisely with only the answer: how many countries make up the united nation? Answer:,193
17003,Answer the question concisely with only the answer: when is women's figure skating 2018 olympics? Answer:,"21 February, 23 February"
72957,Answer the question concisely with only the answer: when was the term third world first used? Answer:,"August 14, 1952"
55550,Answer the question concisely with only the answer: who is the surfer who lost her arm? Answer:,Bethany Malawi Hamilton - Dirks
67333,Answer the question concisely with only the answer: who was the first chief executive officer of niti ayog? Answer:,Amitabh Kant
7760,Answer the question concisely with only the answer: how many goals did ronaldo score in ucl? Answer:,120
6842,Answer the question concisely with only the answer: what weight is conor mcgregor and mayweather fighting at? Answer:,Light - middleweight
78660,Answer the question concisely with only the answer: who won great british bake off series 4? Answer:,Frances Quinn
51545,Answer the question concisely with only the answer: when does blumhouse truth or dare come out? Answer:,"April 13, 2018"
8731,Answer the question concisely with only the answer: where do st louis cardinals have spring training? Answer:,Roger Dean Stadium
8523,Answer the question concisely with only the answer: which king made the great wall of china? Answer:,Qin Shi Huang
59723,Answer the question concisely with only the answer: who did the soundtrack for beverly hills cop? Answer:,MCA Records
28940,Answer the question concisely with only the answer: when did the song genie in a bottle come out? Answer:,"June 22, 1999"
68602,Answer the question concisely with only the answer: who sings i won't let you down? Answer:,American rock band OK Go
72676,Answer the question concisely with only the answer: when does the mlb regular season start in 2018? Answer:,"March 29, 2018"
74812,Answer the question concisely with only the answer: when was the last time it snowed in miami? Answer:,January 1977
74438,Answer the question concisely with only the answer: what is ronnie real name from players club? Answer:,Chrystal Wilson
71182,Answer the question concisely with only the answer: when did new york became the largest city? Answer:,1835
9598,Answer the question concisely with only the answer: who does jane eyre fall in love with? Answer:,Edward Rochester
71706,Answer the question concisely with only the answer: when does season 3 of serial come out? Answer:,Sometime in 2018
35353,Answer the question concisely with only the answer: when is the last time mt hood erupted? Answer:,August 1907
21443,Answer the question concisely with only the answer: where was dr. jekyll when he first transformed into mr. hyde without drinking the potion? Answer:,At a park
28605,Answer the question concisely with only the answer: who dies in for whom the bell tolls? Answer:,Anselmo
76393,Answer the question concisely with only the answer: who voices mikey in look who's talking? Answer:,Bruce Willis
53973,Answer the question concisely with only the answer: how often is african cup of nations played? Answer:,Held in odd - numbered years
4591,Answer the question concisely with only the answer: what is the primary literary work of judaism? Answer:,Talmud
16008,Answer the question concisely with only the answer: what killed the potatoes in the irish potato famine? Answer:,Potato blight
54644,Answer the question concisely with only the answer: where do they go when one has been released in the giver? Answer:,Those said to have been `` released '' have been killed.
37917,Answer the question concisely with only the answer: how many rooms are there in the winchester house? Answer:,Roughly 161 rooms
63351,Answer the question concisely with only the answer: when did mr peabody and sherman come out? Answer:,"February, 2014 in the United Kingdom, March, 2014 in the United States"
80397,Answer the question concisely with only the answer: name the largest national park in east africa? Answer:,Ru aha National Park
48671,Answer the question concisely with only the answer: who finally determined the winner of the 2000 presidential election? Answer:,The United States Supreme Court
54360,Answer the question concisely with only the answer: who sings a little dust on the bottle? Answer:,David Lee Murphy
17505,Answer the question concisely with only the answer: who warned concord that the british were coming? Answer:,Samuel Prescott
80602,Answer the question concisely with only the answer: when did the 4th of july become a federal holiday? Answer:,1938
75583,Answer the question concisely with only the answer: where is carbon dioxide produced in the cell? Answer:,Cristae of the mitochondria
45142,Answer the question concisely with only the answer: what do you call the trim around the floor? Answer:,"Baseboard (also called skirting board, skirting, mopboard, Floor molding, Or base molding)"
6624,Answer the question concisely with only the answer: what do you call a person who only eats fish? Answer:,pescetarian
71575,Answer the question concisely with only the answer: who does the voice of brock in pokemon? Answer:,Eric Stuart
74070,Answer the question concisely with only the answer: the main product of photosynthesis used by plants is? Answer:,Carbohydrate molecules
75909,Answer the question concisely with only the answer: when was the last time usa beat mexico in soccer? Answer:,2007
57388,Answer the question concisely with only the answer: where is dancing with the stars on rté filmed? Answer:,In Ardmore Studios located in County Wick low
3410,Answer the question concisely with only the answer: where will the 2028 summer olympics be held? Answer:,"Los Angeles, California"
67510,Answer the question concisely with only the answer: during the us great depression the unemployment rate peaked at? Answer:,25 %
71818,Answer the question concisely with only the answer: who calls the cues for a show over the headset? Answer:,Stage manager
48705,Answer the question concisely with only the answer: how many episodes of the last season of new girl? Answer:,eight
8176,Answer the question concisely with only the answer: in the first chapter of john the logos refers to? Answer:,Jesus
27234,Answer the question concisely with only the answer: who was red john in the tv series the mentalist? Answer:,Thomas McAllister
62517,Answer the question concisely with only the answer: who played lena in singing in the rain? Answer:,Jean Hagen
35635,Answer the question concisely with only the answer: who got rajiv gandhi khel ratna award 2017? Answer:,"Para Athlete Javelin thrower Defend Jhajharia, Hockey player Barbara Singh"
46858,Answer the question concisely with only the answer: how many episodes are there in season 2 of the crown? Answer:,10 one - hour episodes
81772,Answer the question concisely with only the answer: how much sugar does angel food cake have? Answer:,Sugar is less than or equal to the amount of egg whites
76621,Answer the question concisely with only the answer: when did the last tram run in hull? Answer:,30 June 1945
12728,Answer the question concisely with only the answer: who played in the super bowl this year? Answer:,"New England Patriots, Atlanta Falcons"
12107,Answer the question concisely with only the answer: how much money does the walmart family have? Answer:,$ US174. a billion
33095,Answer the question concisely with only the answer: who does the voice over for x factor? Answer:,Peter Dickson
38455,Answer the question concisely with only the answer: when did the occupation of the ruhr end? Answer:,1925
38548,Answer the question concisely with only the answer: when did iphone 7 come out in us? Answer:,"September 16, 2016"
43673,Answer the question concisely with only the answer: does va stand for veterans administration or veterans affairs? Answer:,Veterans Affairs
18598,Answer the question concisely with only the answer: actress who plays snow white on once upon a time? Answer:,Jennifer Michelle `` Jennifer '' Goodwin
308,Answer the question concisely with only the answer: the dot product of two vectors results in a? Answer:,A vector
50865,Answer the question concisely with only the answer: who dies at the end of season 4 prison break? Answer:,Michael
15490,Answer the question concisely with only the answer: when did the first palm pilot come out? Answer:,1996
85896,Answer the question concisely with only the answer: what language do they speak in the galapagos islands? Answer:,Spanish
45326,Answer the question concisely with only the answer: when is sicario 2 coming out in canada? Answer:,"June 29, 2018"
21030,Answer the question concisely with only the answer: who sings youve got a friend in me from toy story? Answer:,Randy Newman
8612,Answer the question concisely with only the answer: who sang background vocals on you're so vain? Answer:,Mick Jagger
25139,Answer the question concisely with only the answer: when is a bachelor party supposed to be? Answer:,Shortly before he enters marriage
65013,Answer the question concisely with only the answer: when is andromeda going to collide with the milky way? Answer:,About .75 billion years
9960,Answer the question concisely with only the answer: who has the most blocks in one nba game? Answer:,Mark Eaton
3027,Answer the question concisely with only the answer: how many times has wales won the 6 nations? Answer:,26 outright wins with the addition of 12 shared victories
