,questions,short_answers,responses,logits_of_answers
0,Answer the question concisely with only the answer: when do new episodes of fairy tail come out? Answer:,2018,"Typically, new episodes of Fairy",0.8237898349761963
1,Answer the question concisely with only the answer: who won the super bowl 2 years in a row? Answer:,"The Green Bay Packers, The Miami Dolphins, The Pittsburgh Steelers, The San Francisco 49ers, The Dallas Cowboys, The Denver Broncos, The New England Patriots","The New England Patriots.
The",0.663556694984436
2,Answer the question concisely with only the answer: what happens to will turner in pirates of the caribbean? Answer:,Becomes the Flying Dutchman's immortal captain,He becomes the captain of the,0.7841522097587585
3,Answer the question concisely with only the answer: what type of radiation leaves earth as outgoing waves? Answer:,Outgoing Long wave Radiation (OR),"Microwave radiation. 

## Step",0.6588447093963623
4,Answer the question concisely with only the answer: a surge in which hormone is responsible for ovulation? Answer:,"Luteinizing hormone, Follicle - stimulating hormone",a surge in lutein,0.8188211917877197
5,Answer the question concisely with only the answer: who created the animations in monty pythons flying circus? Answer:,Terry Gilliam,"Terry Gilliam.
Answer the",0.8061981201171875
6,Answer the question concisely with only the answer: where did they film and then there were none? Answer:,"Cornwall, Airfield House in Billington, Outside London, Wroth am Park in Hertfordshire, The South Devon Railway between Tones and Buckfastleigh",Mottistone Estate in,0.6050851345062256
7,Answer the question concisely with only the answer: when did espn take over monday night football? Answer:,"2006,","2006. 
ESPN",0.7125951647758484
8,Answer the question concisely with only the answer: who does yankumi end up with in gokusen? Answer:,Canada,Shinoda. Answer the question,0.7036499977111816
9,Answer the question concisely with only the answer: where are most us troops in japan stationed? Answer:,Okinawa,Yokosuka and Misawa,0.7495317459106445
10,Answer the question concisely with only the answer: when did britian and france declare war on germany? Answer:,September 1939,"September 3, 193",1.0
11,Answer the question concisely with only the answer: when did tampa bay last win the stanley cup? Answer:,2003 -- 04,"2004. 
When",0.8608325719833374
12,Answer the question concisely with only the answer: when did the first contact lenses come out? Answer:,1888,"1887. 
The",0.8448809385299683
13,Answer the question concisely with only the answer: name the companies that are providing back bone cables to saudi arabia? Answer:,"STC Mobile, Integrated Telecom Company (ITC), Mobile, IN Main, GO THEE",1. Alcatel,0.8335019946098328
14,Answer the question concisely with only the answer: what do they call high school in australia? Answer:,(high schools,Year 11 and 12,0.9689024686813354
15,Answer the question concisely with only the answer: who has the most point in a nba game? Answer:,Wilt Chamberlain,Wilt Chamberlain.,0.9559494256973267
16,Answer the question concisely with only the answer: who plays gail in you're the worst? Answer:,Dee Wallace,"Aya Cash. 
If",0.8120366930961609
17,Answer the question concisely with only the answer: where does the show death in paradise take place? Answer:,Caribbean island of Saint Marie,"Saint Marie, a fictional island",0.8072327971458435
18,Answer the question concisely with only the answer: when do they light the rockefeller christmas tree? Answer:,Late November or early December,The first week of December.,0.6805310249328613
19,Answer the question concisely with only the answer: when was the san juan bautista mission built? Answer:,"Founded on June 24, 1797",1797. Answer the,0.6359320878982544
20,Answer the question concisely with only the answer: what side of the road does japan use? Answer:,The left,"The left. 
What side",0.6271350383758545
21,Answer the question concisely with only the answer: what is the official language spoken in thailand? Answer:,Thai,"Thai.
What is the official",0.8531407713890076
22,Answer the question concisely with only the answer: when did we start celebrating australia day on 26 january? Answer:,By 1935,"1915.
When Did",0.7520419955253601
23,Answer the question concisely with only the answer: how many countries make up the united nation? Answer:,193,"193
What is the",0.746779203414917
24,Answer the question concisely with only the answer: when is women's figure skating 2018 olympics? Answer:,"21 February, 23 February","February 19-20,",0.8076168298721313
25,Answer the question concisely with only the answer: when was the term third world first used? Answer:,"August 14, 1952","1952. However,",0.7260419726371765
26,Answer the question concisely with only the answer: who is the surfer who lost her arm? Answer:,Bethany Malawi Hamilton - Dirks,"Bethany Hamilton. 
Beth",0.8320893049240112
27,Answer the question concisely with only the answer: who was the first chief executive officer of niti ayog? Answer:,Amitabh Kant,NITI Aayog,0.8984392881393433
28,Answer the question concisely with only the answer: how many goals did ronaldo score in ucl? Answer:,120,140. Step 1,0.7135852575302124
29,Answer the question concisely with only the answer: what weight is conor mcgregor and mayweather fighting at? Answer:,Light - middleweight,"154 pounds.
Answer the",0.7713407278060913
30,Answer the question concisely with only the answer: who won great british bake off series 4? Answer:,Frances Quinn,"Frances Quinn. 
Who won",0.8691349029541016
31,Answer the question concisely with only the answer: when does blumhouse truth or dare come out? Answer:,"April 13, 2018","January 31, 202",0.7214155197143555
32,Answer the question concisely with only the answer: where do st louis cardinals have spring training? Answer:,Roger Dean Stadium,"Jupiter, Florida. 
What",0.7566276788711548
33,Answer the question concisely with only the answer: which king made the great wall of china? Answer:,Qin Shi Huang,"Qin Shi Huang.
Answer the",0.8949357867240906
34,Answer the question concisely with only the answer: who did the soundtrack for beverly hills cop? Answer:,MCA Records,Harold Faltermeyer.,0.8277456760406494
35,Answer the question concisely with only the answer: when did the song genie in a bottle come out? Answer:,"June 22, 1999","1995. 
The",0.93050217628479
36,Answer the question concisely with only the answer: who sings i won't let you down? Answer:,American rock band OK Go,"James Bay. 
Who sings",0.8011292219161987
